Country,YearsCode,YearsCodePro,WorkExp,DevType,Age,EdLevel,LanguageHaveWorkedWith,ConvertedCompYearly
United Kingdom of Great Britain and Northern Ireland,7.0,3.0,,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;R;SQL;VBA,45931.0
Other,8.0,3.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,61041.0
United States of America,25.0,19.0,26.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;PowerShell;SQL,120000.0
Other,8.0,4.0,4.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C#;Java;Python;SQL,45246.0
Other,7.0,2.0,2.0,"Engineer, data",18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",SQL,978.0
Germany,17.0,7.0,7.0,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Go;HTML/CSS;Julia;Python;SQL,85672.0
United States of America,18.0,2.0,2.0,"Engineer, data",25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Python;Scala,118000.0
United States of America,10.0,6.0,5.0,Scientist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C;Julia;Python,82000.0
Switzerland,6.0,3.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python;SQL,110216.0
Germany,40.0,29.0,25.0,Data scientist or machine learning specialist,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C#;Go;Python;R;SQL,128507.0
Other,21.0,15.0,15.0,Data or business analyst,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;R;VBA,99674.0
Poland,8.0,3.0,3.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;Python,57423.0
Germany,15.0,7.0,7.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Dart;JavaScript;Python,77104.0
United States of America,25.0,15.0,20.0,Data scientist or machine learning specialist,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python,400000.0
United Kingdom of Great Britain and Northern Ireland,15.0,8.0,,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Haskell;Java;JavaScript;Kotlin;Nim;Python;Rust;Scala;SQL,155173.0
United States of America,20.0,13.0,13.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,320000.0
Germany,20.0,10.0,,"Engineer, data",35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,71750.0
United States of America,4.0,1.0,,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;R,100000.0
United States of America,5.0,3.0,3.0,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,60000.0
Netherlands,23.0,20.0,20.0,"Engineer, data",35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;Python;SQL,171343.0
Canada,8.0,3.0,3.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Fortran;Python,70634.0
Canada,14.0,5.0,5.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Julia;Python;R;Rust;SQL;TypeScript,63199.0
Finland,5.0,3.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;MATLAB;Python;SQL;TypeScript,53973.0
United States of America,10.0,10.0,10.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Julia;Python;R;Scala;SQL,185000.0
Other,13.0,10.0,12.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;C#;Go;HTML/CSS;Java;JavaScript;PHP;Rust;SQL;TypeScript,171343.0
Other,3.0,1.0,1.0,Data or business analyst,18-24 years old,"Associate degree (A.A., A.S., etc.)",Bash/Shell (all shells);Java;Python;SQL,10000.0
United States of America,19.0,8.0,,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C#;C++;JavaScript;Rust,301000.0
Other,5.0,3.0,7.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL;VBA;Visual Basic (.Net),14736.0
Canada,15.0,12.0,15.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++;JavaScript;Python;Rust,107810.0
United States of America,22.0,17.0,,Scientist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;MATLAB;Python,230000.0
United States of America,9.0,5.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;Python;R;Rust;SQL,110000.0
United Kingdom of Great Britain and Northern Ireland,13.0,0.5,1.0,"Engineer, data",18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C++;Fortran;Python;Scala,39724.0
Australia,4.0,4.0,,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;Python;SQL;TypeScript,66104.0
United States of America,8.0,6.0,6.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C++;Go;Perl;Python;SQL,135000.0
Australia,8.0,6.0,21.0,Scientist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C;Julia;Lisp;Python;R,103122.0
Denmark,14.0,5.0,9.0,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,71892.0
Netherlands,6.0,4.0,6.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C#;C++;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,53545.0
United States of America,5.0,0.5,,"Engineer, data",18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;JavaScript;PHP;Python;SQL;TypeScript,150000.0
Other,6.0,3.0,6.0,Data or business analyst,18-24 years old,Some college/university study without earning a degree,HTML/CSS;Java;Python;SQL,15349.0
Australia,10.0,6.0,6.0,Data scientist or machine learning specialist,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Python;Scala;TypeScript,99156.0
Other,2.0,1.0,2.0,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,21984.0
New Zealand,15.0,12.0,12.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",R;SQL,89839.0
United States of America,6.0,5.0,6.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Go;Python;Rust,142000.0
United States of America,20.0,10.0,10.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);JavaScript;Python;TypeScript,247500.0
New Zealand,5.0,5.0,,Data or business analyst,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",R;SQL,64951.0
United States of America,20.0,15.0,15.0,Scientist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",MATLAB;Python;Rust,90000.0
Other,3.0,1.0,,"Engineer, data",45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);JavaScript;PHP;Python;Ruby;Rust;SQL,150000.0
Australia,7.0,1.0,1.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,56849.0
Australia,20.0,10.0,15.0,Data or business analyst,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C#;HTML/CSS;JavaScript;Python;SQL,115682.0
Australia,20.0,16.0,,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Python;SQL,132208.0
Canada,6.0,6.0,7.0,Data or business analyst,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,96657.0
United States of America,15.0,11.0,,"Engineer, data",35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,194000.0
Canada,4.0,2.0,2.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;C++;PowerShell;Python,54277.0
Brazil,10.0,5.0,6.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Assembly;Bash/Shell (all shells);C;C++;Delphi;Go;HTML/CSS;JavaScript;MATLAB;PHP;Python;R;Rust;SQL;TypeScript,162301.0
United States of America,20.0,6.0,20.0,Data or business analyst,25-34 years old,"Associate degree (A.A., A.S., etc.)",C#;Cobol;Erlang;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;VBA,65000.0
Australia,7.0,4.0,,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;PHP;SQL;VBA,54536.0
United States of America,23.0,15.0,27.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C++;Go;HTML/CSS;JavaScript;Python;Ruby;Rust;SQL;TypeScript,200000.0
United States of America,8.0,5.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",MATLAB;Python,125000.0
United States of America,18.0,16.0,,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Python;Scala;SQL;TypeScript,165000.0
United States of America,14.0,10.0,10.0,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Python,362000.0
Canada,5.0,3.0,3.0,"Engineer, data",18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;R;Rust;SQL,52046.0
New Zealand,22.0,12.0,,Scientist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C;C++;Fortran;Python;R;Rust;SQL,54632.0
United States of America,50.0,40.0,50.0,Data scientist or machine learning specialist,65 years or older,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,300000.0
United Kingdom of Great Britain and Northern Ireland,25.0,17.0,17.0,Scientist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C++;Haskell;Prolog;Python;Rust;SQL;TypeScript,49655.0
United States of America,3.0,0.5,2.0,Data or business analyst,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;HTML/CSS;Java;PowerShell;Python;R;SQL,65000.0
Other,10.0,5.0,10.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;Python;SQL,33089.0
Australia,23.0,23.0,,Data scientist or machine learning specialist,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",HTML/CSS;Python;R;SQL,128903.0
Australia,8.0,5.0,5.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript;Python;SAS;SQL;TypeScript,91884.0
Other,0.5,4.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++;Java;Python;SQL,26075.0
Other,7.0,3.0,3.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Python;SQL,14415.0
Australia,15.0,12.0,,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;Python;Scala,120309.0
France,13.0,9.0,9.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Prolog;Scala;SQL,96381.0
Other,13.0,10.0,10.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Java;Python;SQL,93733.0
Australia,6.0,4.0,5.0,Data or business analyst,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;PowerShell;Python;SQL;VBA,39662.0
United States of America,9.0,5.0,5.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;Rust;Scala;SQL,170000.0
Canada,7.0,4.0,4.0,Data scientist or machine learning specialist,18-24 years old,Some college/university study without earning a degree,Go;Python;Rust,54277.0
United States of America,13.0,5.0,5.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C;Python;TypeScript,134250.0
New Zealand,11.0,2.0,2.0,"Engineer, data",25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C#;JavaScript;Python;R;SQL,66772.0
Other,2.0,1.0,1.0,Scientist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);PowerShell;Python;SQL,22175.0
United States of America,28.0,19.0,22.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Java;Python;Scala;SQL,292000.0
United States of America,10.0,4.0,4.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Python;Rust;SQL,100000.0
Other,6.0,6.0,10.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;R;SQL,929.0
Austria,25.0,7.0,,"Engineer, data",45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,69608.0
United States of America,15.0,4.0,5.0,Scientist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C;C++;Fortran;Python,125000.0
United States of America,13.0,10.0,13.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;PHP;PowerShell;Python;SQL,200000.0
India,4.0,0.5,1.0,Data or business analyst,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C#;C++;HTML/CSS;Java;JavaScript;PowerShell;Python;R;SAS;SQL,1454.0
India,8.0,7.0,7.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;SQL,39986.0
Australia,6.0,6.0,8.0,"Engineer, data",45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript;Python;SQL,92545.0
Other,6.0,3.0,3.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL,6821.0
Other,28.0,18.0,18.0,"Engineer, data",35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Java;Python;Scala;SQL,109276.0
India,4.0,2.0,2.0,Data scientist or machine learning specialist,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;Scala;SQL,7573.0
United States of America,10.0,8.0,13.0,Data scientist or machine learning specialist,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Python;R,170000.0
India,6.0,1.0,1.0,"Engineer, data",18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C++;Java;Python;SQL,24234.0
Poland,15.0,12.0,12.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);GDScript;HTML/CSS;Java;JavaScript;Scala;SQL;TypeScript,108000.0
Germany,21.0,11.0,11.0,"Engineer, data",35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Python;SQL,88884.0
Other,4.0,2.0,2.0,"Engineer, data",18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;Python;SQL,50513.0
Canada,15.0,10.0,,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;JavaScript;Scala;SQL;TypeScript,148703.0
India,11.0,5.0,5.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C++;Go;Java;JavaScript;Kotlin;Python;SQL,59373.0
Australia,23.0,20.0,22.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Python;Scala;SQL,99156.0
Other,14.0,9.0,,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Go;Java;Python;SQL,144000.0
Other,3.0,3.0,,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;SQL,8822.0
United States of America,6.0,2.0,,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,300000.0
India,10.0,5.0,5.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C++;Java;Objective-C;Python;SQL;Swift,21810.0
Other,20.0,11.0,11.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C;C++;Go;Java;JavaScript;Kotlin;Python;SQL;TypeScript,65522.0
Germany,21.0,11.0,7.0,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C#;Go;HTML/CSS;JavaScript;Python;Rust,107090.0
Other,12.0,4.0,4.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C++;Go;PowerShell;Python;R;Scala;SQL,14069.0
Australia,15.0,10.0,16.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Python;Rust;SQL,74697.0
India,5.0,1.0,1.0,Data scientist or machine learning specialist,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C++;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL,5453.0
France,15.0,9.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;Rust;SQL,128507.0
Germany,5.0,3.0,3.0,Data scientist or machine learning specialist,25-34 years old,Some college/university study without earning a degree,JavaScript;Python;Rust;SQL,64254.0
New Zealand,14.0,11.0,11.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Java;Python;Scala;SQL,88018.0
Italy,20.0,10.0,,Data or business analyst,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C++;Fortran;Java;Python;Visual Basic (.Net),32127.0
Other,7.0,2.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++;Go;Python;R;SQL,64335.0
Other,13.0,6.0,24.0,Data scientist or machine learning specialist,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C;C++;HTML/CSS;Lisp;MATLAB;Perl;PowerShell;Python;R;SQL,42699.0
Spain,14.0,9.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;Scala,91026.0
France,11.0,7.0,6.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;C++;Fortran;Java;MATLAB;PowerShell;Prolog;Python;R;Scala;SQL,107090.0
